CrimeDateTime,ASSAULT,BATTERY,WEAPONS VIOLATION,THEFT,CRIMINAL TRESPASS,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,DECEPTIVE PRACTICE,ROBBERY,PUBLIC PEACE VIOLATION,CRIMINAL SEXUAL ASSAULT,NARCOTICS,OTHER OFFENSE,BURGLARY,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,CONCEALED CARRY LICENSE VIOLATION,PROSTITUTION,HUMAN TRAFFICKING,OBSCENITY,STALKING,ARSON,LIQUOR LAW VIOLATION,KIDNAPPING,INTIMIDATION,PUBLIC INDECENCY,NON-CRIMINAL,GAMBLING,OTHER NARCOTIC VIOLATION
2021-05-02,66,164,27,88,12,23,94,24,25,4,5,15,39,15,5,5,4,2,0.0,0.0,1.0,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,60,113,20,100,5,26,49,52,22,2,4,20,46,15,10,4,1,2,1.0,0.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-04,58,88,18,80,7,18,53,37,13,0,6,27,45,15,6,4,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2021-05-05,64,125,18,111,5,29,64,48,18,0,1,24,50,12,2,3,2,0,2.0,0.0,0.0,0,4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2021-05-06,54,89,17,115,11,21,56,38,17,0,4,18,37,14,5,3,0,1,0.0,0.0,0.0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,59,95,20,84,8,27,57,41,21,0,4,19,52,16,6,2,1,0,1.0,0.0,0.0,0,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-05-08,50,118,28,97,6,31,71,34,17,7,4,12,40,18,5,0,3,1,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-05-09,42,138,20,84,7,27,84,21,17,0,6,16,36,18,4,2,2,1,0.0,0.0,1.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-10,34,103,20,107,6,25,74,45,11,2,2,24,52,11,5,5,0,0,0.0,0.0,0.0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11,53,92,16,109,6,24,70,46,13,2,4,17,51,20,5,1,3,0,0.0,0.0,0.0,0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12,47,93,17,105,11,13,57,44,17,3,6,18,41,14,5,0,1,1,0.0,0.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-13,65,101,20,114,9,26,70,39,12,1,2,17,40,14,4,5,2,0,1.0,0.0,0.0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,66,112,30,120,9,35,81,46,24,1,5,22,34,21,4,3,1,0,0.0,0.0,0.0,0,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-05-15,50,133,36,119,10,20,95,29,12,2,3,15,51,19,2,6,6,1,1.0,0.0,0.0,0,2,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-16,53,140,32,95,13,22,69,27,19,1,7,21,33,16,6,3,1,2,1.0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,69,116,34,104,11,28,73,48,12,2,4,13,40,18,13,7,3,0,0.0,0.0,0.0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18,51,113,20,113,8,28,78,40,17,0,5,13,45,17,4,2,3,0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,58,95,28,116,8,20,71,46,21,2,1,18,46,24,11,5,2,2,1.0,10.0,0.0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-05-20,69,130,21,109,6,25,70,52,14,0,3,18,32,8,9,2,1,0,0.0,0.0,0.0,0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
